qualify_id,race_id,driver_id,constructor_id,number,position,q1,q2,q3,ingestion_date
224,28,2,2,3,16,1:21.045,\N,\N,2023-08-19T22:56:02.814+05:30
225,28,6,3,8,17,1:21.085,\N,\N,2023-08-19T22:56:02.814+05:30
226,28,22,11,17,18,1:21.332,\N,\N,2023-08-19T22:56:02.814+05:30
227,28,21,10,21,19,1:21.670,\N,\N,2023-08-19T22:56:02.814+05:30
228,28,16,10,20,20,1:22.113,\N,\N,2023-08-19T22:56:02.814+05:30
229,29,13,6,2,1,1:38.176,1:37.859,1:38.989,2023-08-19T22:56:02.814+05:30
230,29,1,1,22,2,1:38.464,1:37.954,1:39.199,2023-08-19T22:56:02.814+05:30
231,29,9,2,4,3,1:38.347,1:38.050,1:39.392,2023-08-19T22:56:02.814+05:30
232,29,8,6,1,4,1:38.703,1:38.229,1:39.488,2023-08-19T22:56:02.814+05:30
233,29,5,1,23,5,1:38.656,1:38.120,1:39.937,2023-08-19T22:56:02.814+05:30
234,29,20,5,15,6,1:38.141,1:37.842,1:40.142,2023-08-19T22:56:02.814+05:30
235,29,15,7,11,7,1:37.948,1:37.928,1:40.309,2023-08-19T22:56:02.814+05:30
236,29,2,2,3,8,1:38.738,1:37.859,1:40.631,2023-08-19T22:56:02.814+05:30
237,29,3,3,7,9,1:38.595,1:38.336,1:40.721,2023-08-19T22:56:02.814+05:30
238,29,7,5,14,10,1:38.622,1:38.417,1:40.750,2023-08-19T22:56:02.814+05:30
239,29,6,3,8,11,1:38.667,1:38.428,\N,2023-08-19T22:56:02.814+05:30
240,29,4,4,5,12,1:38.268,1:38.435,\N,2023-08-19T22:56:02.814+05:30
241,29,10,7,12,13,1:38.532,1:38.499,\N,2023-08-19T22:56:02.814+05:30
242,29,17,9,10,14,1:38.559,1:38.515,\N,2023-08-19T22:56:02.814+05:30
243,29,12,4,6,15,1:38.787,1:38.744,\N,2023-08-19T22:56:02.814+05:30
244,29,18,11,16,16,1:38.880,\N,\N,2023-08-19T22:56:02.814+05:30
245,29,14,9,9,17,1:39.235,\N,\N,2023-08-19T22:56:02.814+05:30
246,29,21,10,21,18,1:39.268,\N,\N,2023-08-19T22:56:02.814+05:30
247,29,22,11,17,19,1:39.811,\N,\N,2023-08-19T22:56:02.814+05:30
248,29,16,10,20,20,1:39.943,\N,\N,2023-08-19T22:56:02.814+05:30
249,30,1,1,22,1,1:46.887,1:46.088,1:47.338,2023-08-19T22:56:02.814+05:30
250,30,13,6,2,2,1:46.873,1:46.391,1:47.678,2023-08-19T22:56:02.814+05:30
251,30,5,1,23,3,1:46.812,1:46.037,1:47.815,2023-08-19T22:56:02.814+05:30
252,30,8,6,1,4,1:46.960,1:46.298,1:47.992,2023-08-19T22:56:02.814+05:30
253,30,2,2,3,5,1:47.419,1:46.311,1:48.315,2023-08-19T22:56:02.814+05:30
254,30,4,4,5,6,1:47.154,1:46.491,1:48.504,2023-08-19T22:56:02.814+05:30
255,30,17,9,10,7,1:47.270,1:46.814,1:48.736,2023-08-19T22:56:02.814+05:30
256,30,9,2,4,8,1:47.093,1:46.494,1:48.763,2023-08-19T22:56:02.814+05:30
257,30,7,5,14,9,1:46.777,1:46.544,1:48.951,2023-08-19T22:56:02.814+05:30
